Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
208021180,Hughesdale,60516.550465656896,61726.88147497003,62961.41910446943,64220.64748655882
208021182,Ormond - Glen Huntly,58576.902530479536,59748.440581089126,60943.409392710906,62162.277580565125
208021426,Bentleigh East - North,61908.63735644973,63146.810103578726,64409.746305650304,65697.94123176331
208021427,Bentleigh East - South,60928.87662908328,62147.454161664944,63390.40324489825,64658.211309796214
208031183,Aspendale Gardens - Waterways,60319.71137718821,61526.10560473197,62756.62771682661,64011.76027116314
208031186,Chelsea - Bonbeach,59769.866922665475,60965.264261118784,62184.56954634116,63428.26093726799
208031188,Highett (East) - Cheltenham ,59296.63344122533,60482.56611004983,61692.21743225083,62926.06178089585
208031190,Mentone,61906.80634067839,63144.94246749196,64407.8413168418,65695.99814317863
208031191,Moorabbin - Heatherton,58780.507549575435,59956.117700566945,61155.24005457829,62378.34485566986
208031193,Mordialloc - Parkdale,64190.557533466235,65474.36868413556,66783.85605781827,68119.53317897463
209011196,Bundoora - East,51326.04771237027,52352.56866661768,53399.62003995003,54467.612440749035
209011197,Greensborough,62098.4565235615,63340.42565403273,64607.23416711339,65899.37885045566
209011198,Heidelberg - Rosanna,63665.66510702338,64938.97840916385,66237.75797734712,67562.51313689406
209011199,Heidelberg West,53334.018736689366,54400.69911142316,55488.71309365162,56598.48735552465
209011200,Ivanhoe,64995.067291209016,66294.96863703319,67620.86800977385,68973.28536996934
209011202,Montmorency - Briar Hill,62890.376180177576,64148.18370378113,65431.14737785675,66739.77032541389
209011203,Viewbank - Yallambie,61746.25678888425,62981.18192466194,64240.80556315518,65525.62167441829
209011204,Watsonia,60420.85893805798,61629.27611681914,62861.861639155526,64119.09887193864
209021205,Kingsbury,46766.55083109306,47701.881847714925,48655.919484669226,49629.03787436261
209021428,Preston - East,55525.25762535997,56635.76277786717,57768.47803342451,58923.847594093
209021429,Preston - West,58497.362616243874,59667.30986856875,60860.65606594013,62077.86918725893
