Statistical Areas Level 2 2021 code,Statistical Areas Level 2 2021 name,2020_Forecast,2021_Forecast,2022_Forecast,2023_Forecast
203021040,Geelong West - Hamlyn Heights,56618.889409160314,57751.26719734352,58906.29254129039,60084.418392116204
203021042,Highton,56185.581289682515,57309.292915476166,58455.47877378569,59624.5883492614
203021043,Lara,58521.30952579363,59691.7357163095,60885.57043063569,62103.28183924841
203021044,Leopold,53076.392557292405,54137.92040843825,55220.67881660702,56325.09239293916
203021045,Newcomb - Moolap,50556.774517609876,51567.91000796208,52599.26820812132,53651.25357228375
203021047,North Geelong - Bell Park,51405.65538923068,52433.76849701529,53482.4438669556,54552.09274429471
203031048,Clifton Springs,50653.63744077781,51666.710189593374,52700.044393385244,53754.04528125295
203031051,Portarlington,47189.08122375744,48132.862848232595,49095.52010519725,50077.43050730119
203031053,Torquay,57675.08255753967,58828.58420869046,60005.15589286427,61205.25901072156
204011054,Alexandra,44382.11433134921,45269.75661797619,46175.15175033572,47098.654785342434
204011055,Euroa,44669.35960912698,45562.74680130952,46474.00173733571,47403.48177208243
204011056,Kilmore - Broadford,55310.74911186787,56416.964094105235,57545.30337598734,58696.20944350709
204011058,Nagambie,49137.83031349206,50120.586919761896,51122.998658157136,52145.45863132028
204011059,Seymour,50249.263053030285,51254.24831409089,52279.33328037271,53324.91994598017
204011060,Seymour Surrounds,47416.517115079354,48364.84745738094,49332.14440652856,50318.78729465913
204011062,Yea,45383.939249999996,46291.618035,47217.4503957,48161.799403614
204021063,Benalla,47825.64859704184,48782.16156898268,49757.80480036233,50752.96089636958
204021065,Rutherglen,47782.20256349204,48737.84661476188,49712.60354705712,50706.85561799826
204021066,Wangaratta,50485.58201876851,51495.29365914388,52525.199532326755,53575.703522973294
204031071,Myrtleford,44020.2089285714,44900.61310714283,45798.62536928569,46714.5978766714
204031072,Towong,44476.33756746032,45365.86431880953,46273.181605185724,47198.64523728944
204031073,West Wodonga,51522.82410748466,52553.280589634356,53604.34620142704,54676.43312545558
205011076,Drouin,51733.25516623052,52767.92026955513,53823.27867494623,54899.74424844516
205011077,Mount Baw Baw Region,47887.29485111621,48845.040748138534,49821.9415631013,50818.38039436333
205011078,Trafalgar (Vic.),52001.516413419915,53041.54674168831,54102.377676522075,55184.42523005252
205011079,Warragul,52626.91324077965,53679.45150559524,54753.04053570715,55848.101346421296
205021081,Bairnsdale,45756.10416246498,46671.22624571428,47604.65077062856,48556.74378604114
205021082,Bruthen - Omeo,46519.75849612399,47450.15366604647,48399.1567393674,49367.139874154745
205021084,Lakes Entrance,43102.662289774766,43964.71553557026,44844.00984628167,45740.8900432073
205021085,Orbost,43262.88953571425,44128.14732642853,45010.710272957105,45910.92447841625
205021086,Paynesville,43788.196454365076,44663.96038345238,45557.239591121426,46468.384382943856
205031087,Foster,43085.232825863684,43946.937482380956,44825.876232028575,45722.393756669146
205031089,Korumburra,47672.591305375194,48626.0431314827,49598.56399411235,50590.5352739946
